BRIX ,lbs/gal,# SOLIDS/GAL,kg/gal,# solid per Metric Ton,Total Gallons per metric Ton
14,8.795,1.231,3.989,308.6,250.7
14.1,8.799,1.2407,3.991,310.9,250.6
14.2,8.802,1.2499,3.993,313.1,250.5
14.3,8.805,1.2591,3.994,315.3,250.4
14.4,8.809,1.2685,3.996,317.5,250.3
14.5,8.813,1.278,3.998,319.7,250.2
14.6,8.816,1.2871,3.999,321.9,250.1
14.7,8.82,1.2965,4.001,324.1,250
14.8,8.823,1.3058,4.002,326.3,249.9
14.9,8.827,1.3152,4.004,328.5,249.8
15,8.83,1.325,4.005,330.8,249.7
15.1,8.833,1.3338,4.007,332.9,249.6
15.2,8.837,1.3432,4.008,335.1,249.5
15.3,8.841,1.3527,4.01,337.3,249.4
15.4,8.844,1.362,4.012,339.5,249.3
15.5,8.848,1.371,4.013,341.6,249.2
15.6,8.852,1.3809,4.015,343.9,249.1
15.7,8.856,1.3904,4.017,346.1,248.9
15.8,8.859,1.3997,4.018,348.3,248.9
15.9,8.863,1.4092,4.02,350.5,248.7
16,8.866,1.419,4.022,352.8,248.7
16.1,8.87,1.428,4.023,354.9,248.5
16.2,8.873,1.4374,4.025,357.1,248.5
16.3,8.876,1.4468,4.026,359.4,248.4
16.4,8.88,1.4563,4.028,361.5,248.3
16.5,8.884,1.466,4.03,363.8,248.2
16.6,8.888,1.4754,4.032,366,248
16.7,8.892,1.485,4.033,368.2,247.9
16.8,8.895,1.4944,4.035,370.4,247.8
16.9,8.899,1.5039,4.037,372.6,247.7
17,8.902,1.513,4.038,374.7,247.7
17.1,8.905,1.5228,4.039,377,247.6
17.2,8.909,1.5323,4.041,379.2,247.5
17.3,8.913,1.5419,4.043,381.4,247.3
17.4,8.917,1.5516,4.045,383.6,247.2
17.5,8.921,1.561,4.047,385.8,247.1
17.6,8.924,1.5706,4.048,388,247
17.7,8.928,1.5803,4.05,390.2,246.9
17.8,8.932,1.5899,4.052,392.4,246.8
17.9,8.936,1.5995,4.053,394.6,246.7
18,8.938,1.609,4.054,396.9,246.7
18.1,8.942,1.6185,4.056,399,246.5
18.2,8.946,1.6282,4.058,401.2,246.4
18.3,8.95,1.6379,4.06,403.5,246.3
18.4,8.953,1.6474,4.061,405.7,246.2
18.5,8.957,1.657,4.063,407.8,246.1
18.6,8.961,1.6667,4.065,410,246
18.7,8.965,1.6765,4.066,412.3,245.9
18.8,8.968,1.686,4.068,414.5,245.8
18.9,8.972,1.6957,4.07,416.7,245.7
19,8.975,1.705,4.071,418.8,245.6
19.1,8.979,1.7053,4.073,418.7,245.5
19.2,8.982,1.7245,4.074,423.3,245.4
19.3,8.986,1.7343,4.076,425.5,245.3
19.4,8.99,1.7441,4.078,427.7,245.2
19.5,8.994,1.754,4.08,429.9,245.1
19.6,8.997,1.7634,4.081,432.1,245
19.7,9.001,1.7732,4.083,434.3,244.9
19.8,9.005,1.783,4.085,436.5,244.8
19.9,9.009,1.7928,4.086,438.7,244.7
20,9.012,1.802,4.088,440.8,244.6
20.1,9.016,1.8122,4.09,443.1,244.5
20.2,9.019,1.8218,4.091,445.3,244.4
20.3,9.023,1.8317,4.093,447.5,244.3
20.4,9.027,1.8415,4.095,449.7,244.2
20.5,9.031,1.851,4.096,451.9,244.1
20.6,9.034,1.861,4.098,454.1,244
20.7,9.038,1.8709,4.1,456.4,243.9
20.8,9.042,1.8807,4.101,458.5,243.8
