BRIX ,lbs/gal,# SOLIDS/GAL,kg/gal,# solid per Metric Ton,Total Gallons per metric Ton
57.3,10.596,6.0714,4.806,1263.2,208.1
57.4,10.601,6.0849,4.809,1265.4,208
57.5,10.606,6.0983,4.811,1267.6,207.9
57.6,10.61,6.1117,4.813,1269.9,207.8
57.7,10.615,6.1251,4.815,1272.1,207.7
57.8,10.62,6.1386,4.817,1274.3,207.6
57.9,10.625,6.152,4.819,1276.5,207.5
58,10.63,6.165,4.822,1278.6,207.4
58.1,10.635,6.1788,4.824,1280.8,207.3
58.2,10.64,6.1923,4.826,1283,207.2
58.3,10.644,6.2058,4.828,1285.4,207.1
58.4,10.649,6.2193,4.83,1287.5,207
58.5,10.654,6.2328,4.833,1289.7,206.9
58.6,10.659,6.2462,4.835,1291.9,206.8
58.7,10.664,6.2596,4.837,1294.1,206.7
58.8,10.668,6.2731,4.839,1296.4,206.7
58.9,10.673,6.2865,4.841,1298.5,206.6
59,10.678,6.3,4.844,1300.7,206.5
59.1,10.683,6.3136,4.846,1302.9,206.4
59.2,10.688,6.3273,4.848,1305.1,206.3
59.3,10.693,6.3409,4.85,1307.3,206.2
59.4,10.698,6.3545,4.853,1309.5,206.1
59.5,10.703,6.3681,4.855,1311.7,206
59.6,10.707,6.3817,4.857,1314,205.9
59.7,10.712,6.3953,4.859,1316.2,205.8
59.8,10.717,6.409,4.861,1318.4,205.7
59.9,10.722,6.4226,4.863,1320.6,205.6
60,10.727,6.436,4.866,1322.7,205.5
60.1,10.732,6.45,4.868,1325,205.4
60.2,10.737,6.4638,4.87,1327.2,205.3
60.3,10.742,6.4775,4.873,1329.4,205.2
60.4,10.747,6.4913,4.875,1331.6,205.1
60.5,10.752,6.5051,4.877,1333.8,205
60.6,10.757,6.5189,4.879,1336,204.9
60.7,10.762,6.5326,4.882,1338.2,204.9
60.8,10.767,6.5464,4.884,1340.4,204.8
60.9,10.772,6.5602,4.886,1342.6,204.7
61,10.777,6.574,4.888,1344.8,204.6
61.1,10.782,6.5878,4.891,1347,204.5
61.2,10.787,6.6016,4.893,1349.2,204.4
61.3,10.792,6.6154,4.895,1351.4,204.3
61.4,10.797,6.6292,4.897,1353.6,204.2
61.5,10.802,6.6431,4.9,1355.8,204.1
61.6,10.806,6.6569,4.902,1358.1,204
61.7,10.811,6.6707,4.904,1360.3,203.9
61.8,10.816,6.6845,4.906,1362.5,203.8
61.9,10.821,6.6983,4.908,1364.7,203.7
62,10.826,6.712,4.911,1366.8,203.6
62.1,10.831,6.7261,4.913,1369.1,203.5
62.2,10.836,6.7401,4.915,1371.3,203.5
62.3,10.841,6.754,4.917,1373.5,203.4
62.4,10.846,6.768,4.92,1375.7,203.3
62.5,10.851,6.782,4.922,1377.9,203.2
62.6,10.856,6.796,4.924,1380.1,203.1
62.7,10.861,6.8099,4.927,1382.3,203
62.8,10.866,6.8239,4.929,1384.5,202.9
62.9,10.871,6.8379,4.931,1386.7,202.8
63,10.876,6.852,4.933,1388.9,202.7
63.1,10.881,6.8659,4.936,1391.1,202.6
63.2,10.886,6.88,4.938,1393.3,202.5
63.3,10.891,6.8941,4.94,1395.5,202.4
63.4,10.896,6.9082,4.942,1397.7,202.3
63.5,10.901,6.9223,4.945,1400,202.2
63.6,10.906,6.9363,4.947,1402.1,202.1
63.7,10.911,6.9504,4.949,1404.3,202.1
63.8,10.916,6.9645,4.951,1406.6,202
63.9,10.921,6.9785,4.954,1408.7,201.9
64,10.926,6.993,4.956,1411,201.8
64.1,10.931,7.0068,4.958,1413.2,201.7
64.2,10.936,7.0211,4.961,1415.4,201.6
64.3,10.941,7.0353,4.963,1417.6,201.5
64.4,10.946,7.0496,4.965,1419.8,201.4
64.5,10.952,7.0639,4.968,1421.9,201.3
64.6,10.957,7.0781,4.97,1424.1,201.2
64.7,10.962,7.0923,4.972,1426.4,201.1
64.8,10.967,7.1066,4.975,1428.6,201
64.9,10.972,7.1208,4.977,1430.8,200.9
65,10.977,7.135,4.979,1433,200.8
65.1,10.982,7.1494,4.981,1435.2,200.7
65.2,10.987,7.1636,4.984,1437.4,200.7
65.3,10.992,7.1779,4.986,1439.6,200.6
65.4,10.997,7.1922,4.988,1441.8,200.5
65.5,11.002,7.0265,4.99,1408,200.4
65.6,11.007,7.2207,4.993,1446.2,200.3
65.7,11.012,7.235,4.995,1448.4,200.2
65.8,11.017,7.2493,4.997,1450.6,200.1
65.9,11.022,7.2635,5,1452.8,200
66,11.027,7.2778,5.002,1455,199.9
66.1,11.032,7.2923,5.004,1457.3,199.8
66.2,11.037,7.3068,5.006,1459.5,199.7
66.3,11.042,7.3213,5.009,1461.7,199.7
66.4,11.048,7.3359,5.011,1463.9,199.5
66.5,11.053,7.3504,5.014,1466.1,199.5
66.6,11.058,7.3649,5.016,1468.3,199.4
66.7,11.064,7.3794,5.019,1470.4,199.3
66.8,11.069,7.3939,5.021,1472.6,199.2
66.9,11.074,7.4084,5.023,1474.9,199.1
67,11.079,7.4229,5.025,1477.1,199
67.1,11.084,7.4374,5.028,1479.3,198.9
67.2,11.089,7.452,5.03,1481.5,198.8
67.3,11.094,7.4665,5.032,1483.7,198.7
67.4,11.099,7.4811,5.034,1486,198.6
67.5,11.105,7.4959,5.037,1488.1,198.5
67.6,11.11,7.5102,5.039,1490.3,198.4
67.7,11.115,7.5247,5.042,1492.5,198.3
67.8,11.12,7.5393,5.044,1494.7,198.3
67.9,11.125,7.5538,5.046,1496.9,198.2
68,11.13,7.5684,5.049,1499.1,198.1
68.1,11.135,7.5831,5.051,1501.4,198
68.2,11.14,7.5978,5.053,1503.6,197.9
68.3,11.145,7.6125,5.055,1505.8,197.8
68.4,11.151,7.6273,5.058,1507.9,197.7
68.5,11.156,7.642,5.06,1510.2,197.6
68.6,11.161,7.6567,5.063,1512.4,197.5
68.7,11.167,7.6714,5.065,1514.5,197.4
68.8,11.172,7.6861,5.068,1516.7,197.3
68.9,11.177,7.7008,5.07,1518.9,197.2
69,11.182,7.7156,5.072,1521.2,197.2
69.1,11.187,7.7304,5.074,1523.4,197.1
69.2,11.192,7.7452,5.077,1525.6,197
69.3,11.197,7.76,5.079,1527.9,196.9
69.4,11.203,7.7749,5.082,1530,196.8
69.5,11.208,7.7897,5.084,1532.2,196.7
69.6,11.213,7.8045,5.086,1534.5,196.6
69.7,11.219,7.8194,5.089,1536.6,196.5
69.8,11.224,7.9342,5.091,1558.4,196.4
69.9,11.229,7.849,5.093,1541,196.3
70,11.234,7.8638,5.096,1543.2,196.2
70.1,11.239,7.8787,5.098,1545.5,196.2
70.2,11.244,7.8937,5.1,1547.7,196.1
70.3,11.249,7.9086,5.103,1549.9,196
70.4,11.255,7.9235,5.105,1552,195.9
70.5,11.26,7.9384,5.108,1554.3,195.8
70.6,11.265,7.9534,5.11,1556.5,195.7
70.7,11.271,7.9683,5.112,1558.6,195.6
70.8,11.276,7.9832,5.115,1560.8,195.5
70.9,11.281,7.9981,5.117,1563,195.4
71,11.286,8.0131,5.119,1565.3,195.3
71.1,11.291,8.0282,5.122,1567.5,195.3
71.2,11.297,8.0433,5.124,1569.6,195.1
71.3,11.302,8.0584,5.127,1571.9,195.1
71.4,11.307,8.0735,5.129,1574.1,195
71.5,11.313,8.0886,5.132,1576.3,194.9
71.6,11.318,8.1037,5.134,1578.5,194.8
71.7,11.323,8.1188,5.136,1580.7,194.7
71.8,11.328,8.1339,5.138,1583,194.6
71.9,11.334,8.149,5.141,1585.1,194.5
72,11.339,8.1641,5.143,1587.3,194.4
72.1,11.344,8.1793,5.146,1589.6,194.3
72.2,11.35,8.1945,5.148,1591.7,194.2
72.3,11.355,8.2097,5.151,1593.9,194.2
72.4,11.36,8.2249,5.153,1596.2,194.1
72.5,11.366,8.2401,5.156,1598.3,194
72.6,11.371,8.2553,5.158,1600.5,193.9
72.7,11.376,8.2705,5.16,1602.8,193.8
72.8,11.381,8.2857,5.162,1605,193.7
72.9,11.386,8.3009,5.165,1607.3,193.6
73,11.39,8.32,5.166,1610.4,193.6
73.1,,,,,
73.2,,,,,
73.3,,,,,
73.4,,,,,
73.5,11.42,8.395,5.18,1620.6,193
73.6,,,,,
73.7,,,,,
73.8,,,,,
73.9,,,,,
74,11.45,8.47,5.194,1630.8,192.5
74.1,,,,,
74.2,,,,,
74.3,,,,,
74.4,,,,,
74.5,11.48,8.55,5.207,1641.9,192
74.6,,,,,
74.7,,,,,
74.8,,,,,
74.9,,,,,
75,11.5,8.62,5.216,1652.5,191.7
75.1,,,,,
75.2,,,,,
75.3,,,,,
75.4,,,,,
75.5,11.53,8.7,5.23,1663.5,191.2
75.6,,,,,
75.7,,,,,
75.8,,,,,
75.9,,,,,
76,11.55,8.78,5.239,1675.9,190.9
76.1,,,,,
76.2,,,,,
76.3,,,,,
76.4,,,,,
76.5,11.58,8.86,5.253,1686.8,190.4
76.6,,,,,
76.7,,,,,
76.8,,,,,
76.9,,,,,
77,11.61,8.94,5.266,1697.6,189.9
